prefix,lat,lon,dxcc,iso3,name
1A,41.9,12.43,246,ITA,Sovereign Military Order of Malta (Rome)
2A,56.82,-4.18,279,GBR,Scotland
2D,54.2,-4.53,114,IMN,Isle of Man
2E,52.77,-1.47,223,GBR,England
2I,54.73,-6.68,265,GBR,Northern Ireland
2J,49.22,-2.18,122,JEY,Jersey
2U,49.45,-2.58,106,GGY,Guernsey
2W,52.28,-3.73,294,GBR,Wales
3A,43.73,7.4,260,MCO,Monaco
3B6,-10.42,56.58,4,MUS,Agalega & St. Brandon Is.
3B7,-16.58,59.62,4,MUS,Agalega & St. Brandon Is.
3B8,-20.35,57.5,165,MUS,Mauritius
3B9,-19.7,63.42,207,MUS,Rodrigues I.
3C,1.7,10.33,49,GNQ,Equatorial Guinea
3C0,-1.43,5.62,195,GNQ,Annobon I.
3D2,-17.78,177.92,176,FJI,Fiji
3D2CCC,-22.0,175.0,489,FJI,Conway Reef
3D2RI,-12.48,177.08,460,FJI,Rotuma I.
3DA,-26.65,31.48,468,SWZ,Kingdom of Eswatini
3E,9.0,-80.0,88,PAN,Panama
3E1,8.98,-79.52,88,PAN,Panama
3E2,9.3,-78.35,88,PAN,Panama
3E3,8.43,-82.43,88,PAN,Panama
3E4,8.83,-81.5,88,PAN,Panama
3E5,7.67,-80.5,88,PAN,Panama
3E6,8.1,-80.97,88,PAN,Panama
3E7,8.4,-77.92,88,PAN,Panama
3E8,8.33,-79.12,88,PAN,Panama
3E9,7.93,-80.42,88,PAN,Panama
3F1,8.98,-79.52,88,PAN,Panama
3F2,9.3,-78.35,88,PAN,Panama
3F3,8.43,-82.43,88,PAN,Panama
3F4,8.83,-81.5,88,PAN,Panama
3F5,7.67,-80.5,88,PAN,Panama
3F6,8.1,-80.97,88,PAN,Panama
3F7,8.4,-77.92,88,PAN,Panama
3F8,8.33,-79.12,88,PAN,Panama
3F9,7.93,-80.42,88,PAN,Panama
3G,-30.0,-71.0,112,CHL,Chile
3G0,-27.1,-109.37,47,CHL,Easter I.
3G0X,-26.28,-80.07,217,CHL,San Felix & San Ambrosio
3G0Z,-33.6,-78.85,125,CHL,Juan Fernandez Is.
3G1,-23.65,-70.4,112,CHL,Chile
3G2,-33.08,-71.53,112,CHL,Chile
3G3,-35.5,-70.67,112,CHL,Chile
3G4,-33.62,-70.75,112,CHL,Chile
3G5,-36.62,-72.17,112,CHL,Chile
3G6,-39.75,-73.25,112,CHL,Chile
3G7,-40.58,-73.23,112,CHL,Chile
3G8,-53.17,-70.93,112,CHL,Chile
3H,36.0,102.0,318,CHN,China
3H0A,43.75,87.75,318,CHN,China
3H0G,29.42,90.97,318,CHN,China
3H1,39.93,116.4,318,CHN,China
3H2A,45.8,126.67,318,CHN,China
3H2I,43.95,125.28,318,CHN,China
3H2Q,41.8,123.45,318,CHN,China
3H3A,39.13,117.17,318,CHN,China
3H3G,40.87,111.67,318,CHN,China
3H3M,38.03,114.47,318,CHN,China
3H3S,37.87,112.55,318,CHN,China
3H4A,31.25,121.43,318,CHN,China
3H4I,36.63,117.02,318,CHN,China
3H4Q,32.03,118.78,318,CHN,China
3H5A,30.3,120.18,318,CHN,China
3H5I,30.72,106.03,318,CHN,China
3H5Q,26.08,119.27,318,CHN,China
3H6A,31.87,117.3,318,CHN,China
3H6I,34.75,113.57,318,CHN,China
3H6Q,30.52,114.3,318,CHN,China
3H7A,28.2,113.0,318,CHN,China
3H7I,23.08,113.17,318,CHN,China
3H7Q,22.8,108.33,318,CHN,China
3H7Y,20.02,110.27,318,CHN,China
3H8A,30.63,104.03,318,CHN,China
3H8G,29.58,106.42,318,CHN,China
3H8M,26.53,106.67,318,CHN,China
3H8S,25.02,102.68,318,CHN,China
3H9A,34.25,109.0,318,CHN,China
3H9G,36.02,103.87,318,CHN,China
3H9M,38.5,106.25,318,CHN,China
3H9S,36.57,101.67,318,CHN,China
3I0A,43.75,87.75,318,CHN,China
3I0G,29.42,90.97,318,CHN,China
3I1,39.93,116.4,318,CHN,China
3I2A,45.8,126.67,318,CHN,China
3I2I,43.95,125.28,318,CHN,China
3I2Q,41.8,123.45,318,CHN,China
3I3A,39.13,117.17,318,CHN,China
3I3G,40.87,111.67,318,CHN,China
3I3M,38.03,114.47,318,CHN,China
3I3S,37.87,112.55,318,CHN,China
3I4A,31.25,121.43,318,CHN,China
3I4I,36.63,117.02,318,CHN,China
3I4Q,32.03,118.78,318,CHN,China
3I5A,30.3,120.18,318,CHN,China
3I5I,30.72,106.03,318,CHN,China
3I5Q,26.08,119.27,318,CHN,China
3I6A,31.87,117.3,318,CHN,China
3I6I,34.75,113.57,318,CHN,China
3I6Q,30.52,114.3,318,CHN,China
3I7A,28.2,113.0,318,CHN,China
3I7I,23.08,113.17,318,CHN,China
3I7Q,22.8,108.33,318,CHN,China
3I7Y,20.02,110.27,318,CHN,China
3I8A,30.63,104.03,318,CHN,China
3I8G,29.58,106.42,318,CHN,China
3I8M,26.53,106.67,318,CHN,China
3I8S,25.02,102.68,318,CHN,China
3I9A,34.25,109.0,318,CHN,China
3I9G,36.02,103.87,318,CHN,China
3I9M,38.5,106.25,318,CHN,China
3I9S,36.57,101.67,318,CHN,China
3J0A,43.75,87.75,318,CHN,China
3J0G,29.42,90.97,318,CHN,China
3J1,39.93,116.4,318,CHN,China
3J2A,45.8,126.67,318,CHN,China
3J2I,43.95,125.28,318,CHN,China
3J2Q,41.8,123.45,318,CHN,China
3J3A,39.13,117.17,318,CHN,China
3J3G,40.87,111.67,318,CHN,China
3J3M,38.03,114.47,318,CHN,China
3J3S,37.87,112.55,318,CHN,China
3J4A,31.25,121.43,318,CHN,China
3J4I,36.63,117.02,318,CHN,China
3J4Q,32.03,118.78,318,CHN,China
3J5A,30.3,120.18,318,CHN,China
3J5I,30.72,106.03,318,CHN,China
3J5Q,26.08,119.27,318,CHN,China
3J6A,31.87,117.3,318,CHN,China
3J6I,34.75,113.57,318,CHN,China
3J6Q,30.52,114.3,318,CHN,China
3J7A,28.2,113.0,318,CHN,China
3J7I,23.08,113.17,318,CHN,China
3J7Q,22.8,108.33,318,CHN,China
3J7Y,20.02,110.27,318,CHN,China
3J8A,30.63,104.03,318,CHN,China
3J8G,29.58,106.42,318,CHN,China
3J8M,26.53,106.67,318,CHN,China
3J8S,25.02,102.68,318,CHN,China
3J9A,34.25,109.0,318,CHN,China
3J9G,36.02,103.87,318,CHN,China
3J9M,38.5,106.25,318,CHN,China
3J9S,36.57,101.67,318,CHN,China
3K0A,43.75,87.75,318,CHN,China
3K0G,29.42,90.97,318,CHN,China
3K1,39.93,116.4,318,CHN,China
3K2A,45.8,126.67,318,CHN,China
3K2I,43.95,125.28,318,CHN,China
3K2Q,41.8,123.45,318,CHN,China
3K3A,39.13,117.17,318,CHN,China
3K3G,40.87,111.67,318,CHN,China
3K3M,38.03,114.47,318,CHN,China
3K3S,37.87,112.55,318,CHN,China
3K4A,31.25,121.43,318,CHN,China
3K4I,36.63,117.02,318,CHN,China
3K4Q,32.03,118.78,318,CHN,China
3K5A,30.3,120.18,318,CHN,China
3K5I,30.72,106.03,318,CHN,China
3K5Q,26.08,119.27,318,CHN,China
3K6A,31.87,117.3,318,CHN,China
3K6I,34.75,113.57,318,CHN,China
3K6Q,30.52,114.3,318,CHN,China
3K7A,28.2,113.0,318,CHN,China
3K7I,23.08,113.17,318,CHN,China
3K7Q,22.8,108.33,318,CHN,China
3K7Y,20.02,110.27,318,CHN,China
3K8A,30.63,104.03,318,CHN,China
3K8G,29.58,106.42,318,CHN,China
3K8M,26.53,106.67,318,CHN,China
3K8S,25.02,102.68,318,CHN,China
3K9A,34.25,109.0,318,CHN,China
3K9G,36.02,103.87,318,CHN,China
3K9M,38.5,106.25,318,CHN,China
3K9S,36.57,101.67,318,CHN,China
3L0A,43.75,87.75,318,CHN,China
3L0G,29.42,90.97,318,CHN,China
3L1,39.93,116.4,318,CHN,China
3L2A,45.8,126.67,318,CHN,China
3L2I,43.95,125.28,318,CHN,China
3L2Q,41.8,123.45,318,CHN,China
3L3A,39.13,117.17,318,CHN,China
3L3G,40.87,111.67,318,CHN,China
3L3M,38.03,114.47,318,CHN,China
3L3S,37.87,112.55,318,CHN,China
3L4A,31.25,121.43,318,CHN,China
3L4I,36.63,117.02,318,CHN,China
3L4Q,32.03,118.78,318,CHN,China
3L5A,30.3,120.18,318,CHN,China
3L5I,30.72,106.03,318,CHN,China
3L5Q,26.08,119.27,318,CHN,China
3L6A,31.87,117.3,318,CHN,China
3L6I,34.75,113.57,318,CHN,China
3L6Q,30.52,114.3,318,CHN,China
3L7A,28.2,113.0,318,CHN,China
3L7I,23.08,113.17,318,CHN,China
3L7Q,22.8,108.33,318,CHN,China
3L7Y,20.02,110.27,318,CHN,China
3L8A,30.63,104.03,318,CHN,China
3L8G,29.58,106.42,318,CHN,China
3L8M,26.53,106.67,318,CHN,China
3L8S,25.02,102.68,318,CHN,China
3L9A,34.25,109.0,318,CHN,China
3L9G,36.02,103.87,318,CHN,China
3L9M,38.5,106.25,318,CHN,China
3L9S,36.57,101.67,318,CHN,China
3M0A,43.75,87.75,318,CHN,China
3M0G,29.42,90.97,318,CHN,China
3M1,39.93,116.4,318,CHN,China
3M2A,45.8,126.67,318,CHN,China
3M2I,43.95,125.28,318,CHN,China
3M2Q,41.8,123.45,318,CHN,China
3M3A,39.13,117.17,318,CHN,China
3M3G,40.87,111.67,318,CHN,China
3M3M,38.03,114.47,318,CHN,China
3M3S,37.87,112.55,318,CHN,China
3M4A,31.25,121.43,318,CHN,China
3M4I,36.63,117.02,318,CHN,China
3M4Q,32.03,118.78,318,CHN,China
3M5A,30.3,120.18,318,CHN,China
3M5I,30.72,106.03,318,CHN,China
3M5Q,26.08,119.27,318,CHN,China
3M6A,31.87,117.3,318,CHN,China
3M6I,34.75,113.57,318,CHN,China
3M6Q,30.52,114.3,318,CHN,China
3M7A,28.2,113.0,318,CHN,China
3M7I,23.08,113.17,318,CHN,China
3M7Q,22.8,108.33,318,CHN,China
3M7Y,20.02,110.27,318,CHN,China
3M8A,30.63,104.03,318,CHN,China
3M8G,29.58,106.42,318,CHN,China
3M8M,26.53,106.67,318,CHN,China
3M8S,25.02,102.68,318,CHN,China
3M9A,34.25,109.0,318,CHN,China
3M9G,36.02,103.87,318,CHN,China
3M9M,38.5,106.25,318,CHN,China
3M9S,36.57,101.67,318,CHN,China
3N0A,43.75,87.75,318,CHN,China
3N0G,29.42,90.97,318,CHN,China
3N1,39.93,116.4,318,CHN,China
3N2A,45.8,126.67,318,CHN,China
3N2I,43.95,125.28,318,CHN,China
3N2Q,41.8,123.45,318,CHN,China
3N3A,39.13,117.17,318,CHN,China
3N3G,40.87,111.67,318,CHN,China
3N3M,38.03,114.47,318,CHN,China
3N3S,37.87,112.55,318,CHN,China
3N4A,31.25,121.43,318,CHN,China
